katakana	english
アーケード	arcade
エンジニアリング	engineering
カタロニア	Catalonia
キャビネット	cabinet
ジャパニーズ	Japanese
ジャンク	junk
ファイアーウォール	firewall
マッシュルーム	mushroom
マッハ	Mach
リーズナブル	reasonable
アルゴリズム	algorithm
アンドレ	Andre
インドシナ	Indochina
インフレーション	inflation
クランク	crank
サスペンス	suspense
サンタクロース	Santa Claus
ポリマー	polymer
リオ	Rio
カラーリング	coloring
キロバイト	kilobyte
シャー	shah
シリアル	cereal
ジャネット	Janet
スカ	ska
セルビア	Serbia
ハープ	harp
ブッダ	Buddha
メタボ	metabolic
コラボ	collaboration
ダンプ	dump
ピープル	people
ラック	rack
エコロジー	ecology
オッズ	odds
オリエント	Orient
カープ	carp
コネクター	connector
コロニー	colony
ダイオード	diode
ヌーボー	nouveau
ハロウィーン	Halloween
ガーデニング	gardening
クリエーティブ	creative
テナント	tenant
トレーン	train
ネル	flannel
プレース	place
ボディーガード	bodyguard
ライカ	Leica
アウトレット	outlet
アジアン	Asian
エフェクト	effect
エレメント	element
ゴッド	god
スタイン	Stein
ダイバー	diver
ダミー	dummy
トイレット	toilet
トレーラー	trailer
ニコラス	Nicholas
フォーマル	formal
メッセ	Messe
リンカーン	Lincoln
アトム	atom
カースト	caste
シフォン	chiffon
スクラップ	scrap
ソテー	saute
ナット	nut
パイオニア	pioneer
メディカル	medical
リバウンド	rebound
エコノミー	economy
クレヨン	crayon
ゲルマン	Germane
スモーク	smoke
デュシャン	Duchamp
バッファロー	buffalo
ブロンズ	bronze
ホープ	hope
メラニン	melanin
メリー	merry
レファレンス	reference
ゲイブ	Gab(e)
サイバー	cyber
シチリア	Sicilia
ディスコ	disco
ドール	d'Or
ビンゴ	bingo
マドンナ	Madonna
メル	mel
モスク	mosque
ライティング	writing
リベンジ	revenge
カオス	chaos
サイクリング	cycling
サイパン	Saipan
ジェイ	jay
スモール	small
タックル	tackle
ディスカッション	discussion
ドナー	donor
パッチ	patch
プライマリー	primary
ポーター	porter
アイドリング	idling
アルジェリア	Algeria
イングリッシュ	English
ウォッチング	watching
ハノイ	Hanoi
ピクチャー	picture
ヘッドホン	headphone
レパートリー	repertory
コンパス	kompas
スカイライン	skyline
ゼウス	Zeus
トリミング	trimming
ドライヤー	drier
バスケ	basketball
バージン	virgin
ブルックナー	Bruckner
ラバー	lover
リーブ	leave
ウエット	wet
サミュエル	Samuel
ジャガー	jaguar
トラップ	trap
ビュッフェ	buffet
フランコ	Franco
ユング	Jung
ステートメント	statement
チャーム	charm
デカルト	Descartes
アニマル	animal
ジェスチャー	gesture
スターバックス	Starbucks
ゼミ	Seminar
テナー	tenor
ヘルニア	hernia
エストロゲン	estrogen
オムレツ	omelet
クローバー	clover
コテージ	cottage
スタンバイ	standby
ドラッグストアー	drugstore
バラード	ballade
ポリープ	polyp
ラメ	lame
リピーター	repeater
アスパラガス	asparagus
アナリスト	analyst
アルト	alto
アロー	arrow
アンドリュー	Andrew
エントランス	entrance
スピーディー	speedy
スライダー	slider
スワップ	swap
テック	technical
ラジカル	radical
ラッピング	wrapping
リソース	resource
オファー	offer
コナン	Conan
シビア	severe
スイミング	swimming
ソーラー	solar
チルドレン	children
ナイキ	Nike
パプリカ	paprika
フランクリン	Franklin
プログラマー	programmer
ペッパー	pepper
ボイラー	boiler
レポ	report
オペレーター	operator
マーキング	marking
マーラー	Mahler
キプロス	Cyprus
キャミソール	camisole
グラデーション	gradation
コロンブス	Columbus
サタン	Satan
サハリン	Sakhalin
シールド	shield
スチュアート	Stewart
ハーバー	harbor
ブローチ	brooch
マカロニ	macaroni
ライド	ride
ウインド	wind
コカイン	cocaine
シルビア	Silvia
ジャック	jack
ハイジャック	hijack
ファンデ	foundation
アキレス	Achilles
イート	eat
オーガズム	orgasm
カスタード	custard
クエスチョン	question
コンポーネント	component
チェルノブイリ	Chernobyl
ネービー	navy
ブローカー	broker
アクシデント	accident
アバウト	about
イザベル	Isabelle
エンブレム	emblem
クレンジング	cleansing
コックピット	cockpit
ジャンボ	jumbo
ドストエフスキー	Dostoevskii
エントロピー	entropy
ケインズ	Keynes
デービス	Davis
ネロ	Nero
フロラ	flora
ベジタリアン	vegetarian
リキッド	liquid
リキュール	liqueur
ロビンソン	Robinson
アバター	avatar
ウェールズ	Wales
エスニック	ethnic
オスカー	Oscar
オホーツク	Okhotsk
ギャラ	guarantee
ソマリア	Somalia
デラ	della
トリプル	triple
ハイパー	hyper
フリーズ	freeze
ブレーン	brain
メトロ	metro
ラング	langue
レトルト	retort
レフト	left
ワイヤレス	wireless
エトルリア	Etruria
ガラ	gala
スコープ	scope
テクニカル	technical
ディオール	Dior
ヒューマニズム	humanism
アルベルティーヌ	Albertine
シバ	Siva
タンカー	tanker
チャクラ	cakra
ホノルル	Honolulu
アスパラ	Asparagus
コルク	kurk
ビロード	veludo
フェミニン	feminine
ホップ	hop（跳躍）
モネ	Monet
ルージュ	rouge
エディション	edition
カルタ	carta
ガイア	Gaia
ガウン	gown
ショッキング	shocking
シーア	Shia
ピッチング	pitching
ペンシル	pencil
ホイル	foil
ミャンマー	Myanmar
ラッセル	Rasselgerausch
アイビー	ivy
グリッド	grid
テクノ	techno
ドン	don
フレームワーク	framework
マテリアル	material
ルター	Luther
ルビー	ruby
イブン	Ibn
エロチック	erotic
トラクター	tractor
トレース	trace
ドーン	dawn
ボンベ	Bombe
マニアック	maniac
ミニスカート	miniskirt
ミンチ	mince
メソポタミア	Mesopotamia
メチル	methyl
リチウム	Lithium
リミット	limit
ルース	Ruth
アマ	amateur
エキスパート	expert
キャスティング	casting
タール	tar
トー	toe
ハリケーン	hurricane
バント	bunt
ヒステリック	hysteric
ピリオド	period
ファイン	fine
ホワット	what
レスビアン	lesbian
イヤホン	earphone
インターフェロン	interferon
エコノミック	economic
カルト	cult
キウイ	kiwi
クロー	clos
コラボレーション	collaboration
サプリ	supplement
サロメ	Salome
シュミット	Schmitt
シンフォニー	symphony
ディス	this
ブラッシング	brushing
ボーン	bone
ポンス	pons
モア	more
イニシャル	initial
サッシ	sash
シューベルト	Schubert
ジョーン	Joan
スタイリッシュ	stylish
ダンベル	dumbbell
ビス	vis
ポリオ	polio
ポーク	pork
ムーブメント	movement
ラビ	rabbi
オーソドックス	orthodox
パラグアイ	Paraguay
パーキンソン	Parkinson
フレデリック	Frederick
マスコット	mascot
ウッズ	Woods
サハラ	Sahara
シャンデリア	chandelier
ハロン	halon
パラドックス	paradox
ファントム	phantom
フランチェスコ	Francesco
マーフィー	Murphy
ヤコブ	Jakob
ユーモラス	humorous
アッシュ	ash
カドミウム	cadmium
ギル	gill
グレーシー	Gracie
サウス	south
サラ	Sarah
チームワーク	teamwork
テーゼ	These
ハンナ	Hanna
プロローグ	prologue
モス	MOS
エイブラハム	Abraham
コンビネーション	combination
コーポレート	corporate
ジャスミン	jasmine
スタンフォード	Stanford
スロットル	throttle
デトロイト	Detroit
ドリブル	dribble
ベック	Beck
ボリビア	Bolivia
マルセイユ	Marseille
マンチェスター	Manchester
レジスト	resist
コネクション	connection
ゴンドラ	gondola
シャム	Siam
チック	#ИМЯ?
アンペア	ampere
キャブ	cab
ケルン	Koln
セレスト	Celeste
ドナルド	Donald
ナイス	nice
フィル	Philharmonie
ペスタロッチ	Pestalozzi
ポリエステル	Polyester
マタイ	Maththaios
マーガリン	margarine
レプリカ	replica
アルフレッド	Alfred
エージェンシー	agency
オンブズマン	ombudsman
オーシャン	ocean
グラ	gras
ゴースト	ghost
セラミック	ceramic
タイラー	Tylor
ダスト	dust
ファウスト	Faust
フライド	fried
プロポーション	proportion
ヘロイン	Heroin
マリネ	marine
ミュール	mule
ミル	Mill
リニア	linear
アクト	act
アッパー	upper
アムステルダム	Amsterdam
アンダーソン	Anderson
ガーリック	garlic
コープ	coop
ダックス	Dachshund
チャーター	charter
バイエルン	Bayern
ブルゾン	blouson
ペギー	Peguy
ルノー	Renault
アイシャ	Aisha
ウォーカー	walker
デーブ	Dave
ハイドン	Haydn
バザール	bazar
ヒア	here
フェノール	phenol
マルタ	Malta
ラプソディー	rhapsody
ロジスティック	logistic
ワンダー	wonder
アップロード	upload
アリア	aria
アリラン	arirang
ウエルカム	welcome
エンゲルス	Engels
シュメール	Sumer
ステッキ	stick
セロハン	cellophane
ディスクロージャー	disclosure
トルーマン	Truman
ハプニング	happening
ボルドー	Bordeaux
カーン	Khan
キャディー	caddie
ケンタッキー	Kentucky
コンテキスト	context
ジューシー	juicy
スポットライト	spotlight
セーフガード	safeguard
ダイブ	dive
トイ	toy
トラベル	travel
フランチャイズ	franchise
ブローデル	Braudel
ポートレート	portrait
ラスベガス	Vegas
ラボ	laboratory
アプリ	application
アワー	hour
インターチェンジ	interchange
カーキ	khaki
コンプリート	complete
ゴア	Goa
ダル	dull
バンキング	banking
パラ	para
フィーリング	feeling
ブラックリスト	blacklist
プロット	plot
マヤ	Maya
ラス	lath
リバプール	Liverpool
アライアンス	alliance
ショールーム	showroom
スク	schooling
スクリーニング	screening
ストロベリー	strawberry
チャージ	charge
チームメート	teammate
デュアル	dual
ヒステリー	Hysterie
フィジー	Fiji
フリードリヒ	Friedrich
ブリキ	blik
プランナー	planner
ヘラクレス	Herakles
ヘルメス	Hermes
ボーイング	Boeing
マーガレット	Marguerite
ランス	Reims
リズミカル	rhythmical
レシート	receipt
ローランド	Rowland
アソシエーション	association
エス	Es
エチオピア	Ethiopia
チーク	cheek
バラモン	brahmana
フィリップス	Philips
プラネタリウム	Planetarium
マイノリティー	minority
モーメント	moment
スマトラ	Sumatra
ソード	sword
ハイジ	Heidi
バイオレット	violet
パッチワーク	patchwork
フレディー	Freddie
フローラル	floral
ブイ	buoy
モノレール	monorail
アウトライン	outline
サイレンサー	silencer
サーファー	surfer
スルタン	sultan
ダイ	dye
ダクト	duct
ダンピング	dumping
チワワ	Chihuahua
ノウ	know
ハウ	how
パラグラフ	paragraph
プロファイル	profile
マンガン	Mangan
ユーゴー	Hugo
ユーラシア	Eurasia
ランタン	lantern
エコノミスト	economist
コスプレ	costume play
コリア	Korea
スコップ	schop
スプリント	sprint
ソー	saw
チェス	chess
ツイード	tweed
ドバイ	Dubai
ハンティング	hunting
バイオマス	biomass
ホルン	horn
マスタード	mustard
ミニマム	minimum
ラムネ	lemonade
リンス	rinse
ルビ	ruby
ウェーバー	Weber
エアロビック	aerobic
エンタープライズ	enterprise
クラクション	klaxon
シーフード	seafood
バンカー	bunker
フランソワ	Francois
フー	who
ホームステイ	homestay
ホールド	hold
マットレス	mattress
ユーティリティー	utility
ランドセル	ransel
リンチ	Lynch
ロイター	Reuters
ロケーション	location
ローガン	Logan
エミール	Emile
エンコード	encode
オペ	operation
カシミア	cashmere
グレゴリー	Gregory
サイゴン	Saigon
サプライズ	surprise
サンパウロ	Sao Paulo
ジンジャー	ginger
スキップ	skip
スロープ	slope
ディエゴ	Diego
ハンドメード	handmade
バージニア	Virginia
フラメンコ	flamenco
ペンション	pension
ボスニア	Bosnia
ミリタリー	military
アーノルド	Arnold
ギルド	guild
グロテスク	grotesque
コサージュ	corsage
コンポ	component
ゴーグル	goggle
バーボン	bourbon
パトロン	patron
パーカー	Parker
フィラデルフィア	Philadelphia
ブリュッセル	Bruxelles
マンネリ	mannerism
ユーゴ	Yugoslavia
エドガー	Edgar
グラム	Gram
コミットメント	commitment
サバンナ	savanna
シェ	chez
スパン	span
スピードアップ	speed-up
タイツ	tights
タラ	Tara
ネクスト	next
ノンノ	non-no
ハイツ	heights
バーナード	Bernard
ピック	pick
ヘミングウェー	Hemingway
ラマ	lama
レトリック	rhetoric
ゲレンデ	Gelande
サニー	sunny
テレコム	telecom
パナマ	Panama
マンモス	mammoth
ユダ	Judas
エッセンシャル	essential
クライン	klein
クラッカー	cracker
サテン	satin
セクシャリティー	sexuality
ダブルス	doubles
ニート	NEET
ハディース	hadith
バウハウス	Bauhous
リコール	recall
アトランタ	Atlanta
コバルト	cobalt
ゴーギャン	Gauguin
シャボン	sabao
シーザー	Caesar
スモッグ	smog
スーパースター	superstar
ダンカン	Duncan
デマ	Demagogie
トリップ	trip
トレンチ	trench
パフェ	parfait
フォール	fall
ブロードウェー	Broadway
ヘリウム	helium
ミリオン	million
ジェリー	Jerry
スペア	spare
デュマ	Dumas
ニス	varnish
ベニス	Venice
リムジン	limousine
ルシアン	Lucien
レンダリング	rendering
ウイグル	Uighur
オリンピア	Olympia
ジャカルタ	Djakarta
ダ	da/de
ヒーリング	healing
フィッシャー	Fisher
ロイド	Lloyd
アボカド	avocado
キャプチャー	capture
クリエーター	creator
クーペ	coupe
サス	suspension
サッチャー	Thatcher
ザット	that
ジョージア	Georgia
ダルタニアン	D'Artagnan
チョーク	chalk
ビルヘルム	Wilhelm
フレンドリー	friendly
ブザー	buzzer
ブランク	blank
プロレタリア	Proletarier
ボードレール	Baudelaire
イザヤ	Isaiah
エキゾチック	exotic
クラ	clarinet
サイモン	Simon
ジュ	je
セーヌ	Saine
ソール	sole(魚)
トライアル	trial
ノストラダムス	Nostradamu
ハンブルク	Hamburg
フェロモン	pheromone
ベネトン	Benetton
ミューラー	Muller
ワルシャワ	Warszawa
アドビ	Adobe
カウボーイ	cowboy
ギルバート	Gilbert
サーフ	surf
シャトー	chateau
スネイプ	Snape
ソサエティー	society
ターナー	Turner
ネーション	nation
バックス	backs
バッチ	batch
バルカン	Balkan
パージ	purge
ファジー	fuzzy
モダニズム	modernism
リム	rim
レスト	rest
アボリジニ	aborigine
インサイダー	insider
オットー	Otto
オピニオン	opinion
コロン	cologne
ネイサン	Nathan
フーコー	Foucault
プリーツ	pleats
プロテイン	protein
ペチカ	pechka
ホイップ	whip
マグニチュード	magnitude
リアクション	reaction
リピート	repeat
ロボ	robot
ローブ	robe
ワイパー	wiper
アンドレイ	Andrei
イニング	inning
ウィー	we
オカルト	occult
オリジナリティー	originality
オーロラ	aurora
カステラ	Castella
サックス	sax
ステンド	stained
ストックホルム	Stockholm
スパム	spam
スペル	spell
ニア	near
ニュートラル	neutral
ハルビン	Harbin
パスカル	Pascal
ピロリ	pylori
フュージョン	fusion
ブルドーザー	bulldozer
ブレス	breath
ベネズエラ	Venezuela
ベンゼン	benzene
ポー	Poe
ミディアム	medium
メーキング	making
インスピレーション	inspiration
ギタリスト	guitarist
クエスト	quest
クラウス	Klaus
シーボルト	Siebold
スエード	suede
センサス	census
デジ	digital
ハムレット	Hamlet
バウンド	bound
フェラ	fellatio
マタニティー	maternity
ムッソリーニ	Mussolini
リネン	linen
レクチャー	lecture
アスベスト	Asbest
アロマセラピー	aromatherapy
クエンティン	Quentin
ケミカル	chemical
コンベヤー	conveyor
スノーボード	snowboard
ツモ	自摸
バカンス	vacances
ロジック	logic
アップグレード	upgrade
アレキサンドル	Alexander
カーネギー	Carnegie
キセル	khsier
ジョブ	job
スコッチ	Scotch
スパイダー	spider
スポーツマン	sportsman
スー	四
ソリューション	solution
ドロー	draw
ハラスメント	harassment
ペイ	pay
メタリック	metallic
レジストリー	registry
エレキ	electriciteit
カウントダウン	countdown
ガリ	Ghali
キャバレー	cabaret
コレラ	cholera
シャーマン	shaman
ジグザグ	zigzag
ジョッキ	jug
トール	tall
パパイア	papaya
フィン	fin
メロ	melody
レジスタンス	resistance
アウター	outer
アルミホイル	aluminium foil
イフ	if
クロウ	crow
コルト	Colt
コンマ	comma
チェックアウト	check-out
テリトリー	territory
ディー	Dee
トロッコ	truck
ドレーン	drain
ビオラ	viola
フォワード	forward
ペスト	pest
メープル	maple
モニュメント	monument
モーテル	motel
アイリス	iris
エマ	Emma
オルゴール	orgel
キャッシング	cashing
キャリー	carry
ジニ	Gini
トロント	Toronto
ハンディキャップ	handicap
ヒラリー	Hillary
フィンガー	finger
ヘンデル	Handel
リラクセーション	relaxation
レイ	lay
レーズン	raisin
アウトソーシング	outsourcing
アドベンチャー	adventure
イクラ	ikra
インフォームド	informed
エバー	ever
オフセット	offset
オマーン	Oman
カンヌ	Cannes
クレオパトラ	Kleopatra
サイレンス	silence
スランプ	slump
チロル	Tyrol
ディック	Dick
デーモン	demon
ナント	Nantes
ハッスル	hustle
バンクーバー	Vancouver
パラソル	parasol
ブラント	Brandt
プランニング	planning
ヘイ	hey
ホッケー	hockey
メシア	Messiah
モンキー	monkey
レッグ	leg
アプレット	applet
エクアドル	Ecuador
グライダー	glider
コークス	Koks
サイダー	cider
ショーン	Sean
タペストリー	tapestry
チェイス	chase
トゥルー	TRUE
ハワイアン	Hawaiian
パンジー	pansy
フィルハーモニー	Philharmonie
マリノ	marinos
ライク	like
リヨン	Lyon
ワイマール	Weimar
ワンピ	one-piece
アンソニー	Anthony
エスコート	escort
カスティリャ	Castilla
コイ	coi
サブリナ	Sabrina
スターター	starter
スペシャリスト	specialist
スリット	slit
ダイナマイト	dynamite
トレール	trail
バルーン	balloon
パイク	pike
パラレル	parallel
ビクター	victor
ビラ	villa
ビーカー	beaker
ブランチ	branch
プランクトン	plankton
マヨ	mayonnaise
ミシガン	Michigan
ミーガン	Megan
ルポ	reportage
ルーキー	rookie
アルバニア	Albania
カルメン	Carmen
カレント	current
クラリネット	clarinet
クロアチア	Croatia
シャーベット	sherbet
ステラ	Stella
ダック	duck
テロリズム	terrorism
テークアウト	take-out
デシリットル	decilitre
ヘルペス	herpes
ペテロ	Petros
ホスピス	hospice
ポプラ	poplar
メット	met
エチケット	etiquette
サージ	serge
スイ	Sui
デコレーション	decoration
デフレーター	deflator
ハナ	hana
ハミルトン	Hamilton
バクテリア	bacteria
ヒスタミン	histamine
フェーズ	phase
フォーミュラ	formula
フレア	flare
ベルナール	Bernard
リーディング	leading
ローズマリー	rosemary
アウシュビッツ	Auschwitz
アド	ad
アナル	anal
オクターブ	Oktave
オンワード	onward
コリント	Corinth
スパイラル	spiral
セーバー	saver
ダース	Darth
バチカン	Vatican
バルザック	Balzac
フィットネス	fitness
フライング	flying
フロート	float
プロバンス	Provence
ホリデー	holiday
マカオ	Macao
マッチング	matching
マルセル	Marcel
メレディス	Meredith
ヤハウェ	Yahweh
ユニバーシティー	university
ランゲージ	language
アイリーン	Aileen
アルカイダ	al-qaida
エクイティー	equity
エポック	epoch
スツール	stool
ニューオーリンズ	New Orleans
ネイト	Nate
ネルソン	Nelson
バーディー	birdie
ヒッピー	hippie
ピューレ	puree
マイヤー	Mayer
メコン	Mekong
モンロー	Monroe
ユタ	Utah
リュックサック	rucksack
カロチン	carotene
キルト	quilt
クーパー	Cooper
コスモ	cosmo
ゴーン	Ghosn
ジャスダック	Jasdaq
ディスカウント	discount
ナレッジ	knowledge
ヒスパニック	Hispanic
ビクトール	Viktor
ベルガー	Berger
ロジャース	Rodgers
アーセナル	arsenal
インディー	indie
ウイークリー	weekly
エセックス	Essex
チャペル	chapel
トリ	tri
ノズル	nozzle
ハグリッド	Hagrid
バリケード	barricade
ミシシッピ	Mississippi
ユークリッド	Euclid
ランドマーク	landmark
ルドルフ	Rudolf
レセプション	reception
アポトーシス	apoptosis
オイスター	oyster
コミンテルン	Komintern
サド	sadist
サンキュー	thank you
ダイジェスト	digest
チェコスロバキア	Czecho-Slovakia
ツイスト	twist
ツーリズム	tourism
トレッキング	trekking
ドライビング	driving
ハイヤー	higher
ビルディング	building
ファシスト	fascist
プロパン	Propan
ボイコット	boycott
ラジエーター	radiator
リーク	leak
アクセ	accessory
アム	am
アラーム	alarm
キホーテ	Quijote
グリア	glia
コサイン	cosine
コンパイル	compile
シリアス	serious
ジェノバ	Genova
ジプシー	gypsy
チューリヒ	Zurich
フェリックス	Felix
フーリエ	Fourier
ブラス	brass
モラトリアム	moratorium
ライフライン	lifeline
ラビット	rabbit
レガシー	legacy
レズ	Lesbian
アポ	appointment
イージス	aegis
ウラジオストク	Vladivostok
クライスラー	Kreisler
コサック	Cossack
シッター	sitter
スタンダール	Stendhal
ダッチ	Dutch
ダライラマ	Dalai Lama
テーブルクロス	tablecloth
ハイド	hyde
バゲット	baguette
バックグラウンド	background
パテ	putty
ブリジストン	BRIDGESTONE
プロパガンダ	propaganda
マクベス	Macbeth
マロン	marron
メルヘン	Marchen
レックス	Rex
ロダン	Rodin
ローレンツ	Lorentz
イズム	ism
インスタンス	instance
ウォーホル	Warhol
エルム	elm
ギガ	giga
クオーター	quarter
クック	Cook
ザビエル	Xavier
シーリング	ceiling
スクラム	scrum
ゾンビ	zombie
ゾーイ	zoe
ダンパー	damper
トルストイ	Tolstoi
ニコロ	Niccolo
バイヤー	buyer
バーテンダー	bartender
ブルジョアジー	bourgeoisie
プロシージャー	procedure
マネキン	mannequin
マリファナ	marijuana
マンパワー	manpower
ラージ	large
ロココ	rococo
ワープ	warp
カスタマー	customer
カーゴ	cargo
グルタミン	glutamine
コンファレンス	conference
ザルツブルク	Salzburg
ゾラ	Zola
トリスタン	Tristan
ハー	her
バスタブ	bathtub
バッシング	bashing
パウエル	Powell
ビジター	visitor
フォート	fort
マシュー	Matthew
モナコ	Monaco
モノトーン	monotone
ロスト	lost
アロハ	aloha
アンデス	Andes
エイリアン	alien
エグザイル	exile
エジソン	Edison
エンジョイ	enjoy
ガイダンス	guidance
ケルト	Celt
シャーリー	Shirley
ジッパー	zipper
スキンシップ	skinship
ドッキング	docking
バビロニア	Babylonia
バラック	barrack
ブルゴーニュ	Bourgogne
ベルディ	Verdy
ミトコンドリア	mitochondria
ウェイン	Wayne
クリトリス	clitoris
グリム	Grimm
コンソール	console
サクセス	success
スパイシー	spicy
トロール	trawl
ドメスティック	domestic
パウル	Paul
ビスマルク	Bismarck
フィー	fee
ブースター	booster
マーブル	marble
メルボルン	Melbourne
リサイタル	recital
アクロバット	acrobat
アセット	asset
アーバン	urban
オニオン	onion
オリンパス	Olympus
カストロ	Castro
カムフラージュ	camouflage
キャラバン	caravan
コーエン	Cohen
サイトカイン	cytokine
サンシャイン	sunshine
シネ	cinema
セビリア	Sevilla
セレクション	selection
トリノ	Torino
マニフェスト	manifesto
エーテル	ether
キャミ	camisole
クララ	Clara
コンミューン	commune
ゴシップ	gossip
シューマン	Schumann
タナー	Tanner
テスター	tester
デュエット	duet
ニューマン	Newman
ネバー	never
ノード	node
フォア	foie
ブリーダー	breeder
ホフマン	Hoffmann
ミラクル	miracle
リベート	rebate
ロレンソ	Lorenzo
アルバート	Albert
アンチョビー	anchovy
インテーク	intake
インデント	indent
コブラ	cobra
シューマッハー	Schumacher
ストリップ	strip
スラグ	slag
タックス	tax
ダイムラー	Daimler
トリストラム	Tristram
ハイドロ	hydro
ハーグ	Haag
バタフライ	butterfly
バリウム	barium
ピンセット	pincette
ミット	mitt
ラズベリー	raspberry
リザーブ	reserve
レスキュー	rescue
アイスランド	Iceland
アストロ	astro
オフサイド	offside
キャッスル	castle
ダンディー	dandy
ハレム	harem
ハンドリング	handling
ヒレ	filet
ベア	base up
ベレー	beret
ラブリー	lovely
ワーム	worm
アドバンス	advance
アパッチ	Apache
アングロサクソン	Anglo-Saxon
コミッション	commission
コモン	common
コルホーズ	kolkhoz
ジン	gin
ターム	term
テロップ	telop
ハイビスカス	hibiscus
バビロン	Babylon
バルク	bulk
バーレーン	Bahrain
フェチ	fetishism
フライデー	Friday
フリント	flint
ペニー	penny
メディチ	Medici
リオン	RION
ワイングラス	wineglass
アトランティス	Atlantis
インプラント	implant
エジンバラ	Edinburgh
エネルギッシュ	Energisch
カンジダ	candida
カートリッジ	cartridge
コソボ	Kosovo
コロナ	corona
コンゴ	Congo
コールド	called
スパルタ	Sparta
ソン	son
タイプライター	typewriter
タヒチ	Tahiti
テクスチャー	texture
デラックス	deluxe
ドナウ	Donau
パビリオン	pavilion
ヒューズ	Hughes
ピクルス	pickles
プールサイド	poolside
ベンガル	Bengal
マザコン	mother complex
メモリアル	memorial
メーソン	mason
インピーダンス	impedance
カザフスタン	Kazakhstan
キケロ	Cicero
キャバクラ	cabaret club
クチュール	couture
クロムウェル	Cromwell
グラフィティー	graffiti
シリング	shilling
セザンヌ	Cezanne
センテンス	sentence
ダグラス	Douglas
トタン	tutanaga
ニュルンベルク	Nurnberg
ハーバート	Herbert
パイン	pine
ヘモグロビン	hemoglobin
ミチル	Myltyl
ルクセンブルク	Luxembourg
ルーチン	routine
アバンギャルド	avantgarde
アリゾナ	Arizona
アーリー	early
カローラ	Corolla
コーチング	coaching
サドル	saddle
サファイア	sapphire
ショール	shawl
スプレッド	spread
スンナ	Sunnah
ソニック	sonic
ソムリエ	sommelier
チュニジア	Tunisia
ノーザン	northern
バイス	vice
パター	putter
ホセ	Jose
ポーカー	poker
モントリオール	Montreal
リスニング	listening
リテラシー	literacy
リージョン	region
レクサス	lexus
ロドリゲス	Rodriguez
アシュリー	Ashley
アニマ	anima
アメニティー	amenity
アロエ	aloe
エクスタシー	ecstasy
エバンズ	Evans
エレクトリック	electric
オブザーバー	observer
カカオ	cacao
キックオフ	kick-off
サンライズ	sunrise
サーベイ	survey
スレッド	thread
トリュフ	truffe
ナイーブ	naive
ニカラグア	Nicaragua
ハウジング	housing
ハーモニカ	harmonica
ベアリング	bearing
ペースメーカー	pacemaker
ボンベイ	Bombay
マイスター	Meister
マルコス	Marcos
メリル	Merrill
ロイス	Royce
アイソトープ	isotope
アカデミック	academic
アスレチック	athletic
アドリブ	ad lib
アラート	alert
アレキサンドリア	Alexandria
イーサーネット	Ethernet
ウインター	winter
エルフ	Elf
カフ	cuff
ギネス	Guinness
ギプス	Gips
グレース	grace
コンバーター	converter
スクランブル	scramble
フットワーク	footwork
ブルックリン	Brooklyn
ペパーミント	peppermint
ホールディング	holding
ホールデン	Holden
リスナー	listener
ルディ	Rudi
ルーメン	lumen
レオポルド	Leopold
ローリング	rolling
ウレタン	urethan
カノン	cannon
ガバメント	government
コスチューム	costume
コレ	collection
サンバ	samba
シャンソン	chanson
テーピング	taping
バレリーナ	ballerina
ブレッド	bread
プリペイド	prepaid
ミッドウェー	Midway
モルト	malt
レシーブ	receive
レセプター	receptor
ロト	Lot
アイゼン	Steigeisen
アウトプット	output
アジェンダ	agenda
アタッシュ	attache
イゾルデ	Isolde
エブリー	every
カウル	cowl
カービング	carving
クルーザー	cruiser
ケプラー	Kepler
コペンハーゲン	Copenhagen
コラージュ	collage
センセーショナル	sensational
ソート	sort
ノスタルジア	nostalgia
パラシュート	parachute
フランドル	Flandre
フレキシブル	flexible
ブダペスト	Budapest
ブーイング	booing
プレジデント	president
ヘルシンキ	Helsinki
モルタル	mortar
ラッテ	latte
レイナ	Reyna
ウルリヒ	Ulrich
エホバ	Jehovah
オハイオ	Ohio
カリフラワー	cauliflower
クレージー	crazy
コンチネンタル	continental
ジャンクション	junction
トランクス	trunks
トロツキー	Trotskii
ビトゲンシュタイン	Wittgenstein
フィール	feel
フラスコ	frasco
フリーク	freak
マンスフィールド	Mansfield
メダリスト	medalist
メドレー	medley
メーラー	mailer
レオニ	Leoni
ローダー	Lauder
ウインカー	winker
エアゾール	aerosol
カフェオレ	cafe au lait
カンガルー	kangaroo
キメラ	chimera
ゴスペル	gospel
ジョイ	joy
スパー	spur
スワン	swan
ダンテ	Dante
トモ	Tomo
トラス	truss
トラフィック	traffic
ナイジェリア	Nigeria
ナイター	nighter
パスコー	Pascoe
ビスタ	vista
フィナーレ	finale
フェミニスト	feminist
フリマ	flea market
ブレザー	blazer
ブート	boot
プエルトリコ	Puerto Rico
プードル	poodle
ヘル	Herr
ベニヤ	veneer
ペニシリン	penicillin
ポジショニング	positioning
ポリエチレン	Polyathylen
ポルト	Porto
マイアミ	Miami
ミルトン	Milton
モカ	mocha
リバイバル	revival
レンブラント	Rembrandt
ロマ	Roma
アレジ	Alesi
イントネーション	intonation
エグゼクティブ	executive
エスキモー	Eskimo
カフカ	Kafka
クラシカル	classical
サンスクリット	Sanskrit
シス	Sith
シャン	Schon
ジャマイカ	Jamaica
