Katakana,Transliteration,Additional
リードオンリーメンバー,read-only member,"read-only member, read only member, readonly member, read-only members, read only members, readonly members, ROM, read-only access, view-only member, view only member, viewer, viewers"
リフォーム,reform,"renovation, remodeling, refurbishment, home improvement, renovations, remodelling, refurbishments, home improvements, makeover, makeovers, upgrade, upgrades"
リモコン,,"remote control, remote, remote controls, remotes, controller, controllers, clicker, clickers"
リンクフリー,link free,"link free, freely linkable, free to link, linking permitted, open linking, unrestricted linking, linkable without permission"
リニューアル,renewal,"renewal, renewals, renew, renovation, renovations, update, updates, revamp, revamps, makeover, makeovers, refresh"
リサイクルショップ,recycle shop,"thrift store, second-hand shop, used goods store, consignment shop, resale shop, thrift shops, second-hand shops, used goods stores, consignment shops, resale shops, secondhand store, secondhand shop"
リストラ,,"restructuring, downsizing, layoffs, corporate restructuring, workforce reduction, job cuts, redundancies, staff reduction, layoff, downsizing process"
ロードショー,road show,"road show, roadshow, road shows, roadshows, theatrical release, first-run screening, premiere screening, movie premiere, film premiere, theatrical run, cinema release, first-run release"
ロケーションハンティング or ロケハン,location hunting,"location scouting, location hunting, scouting, site scouting, location recce, location reconnaissance, recce, reconnaissance, location search, site hunting, site search, location finding"
ロマン,roman,"romance, romanticism, romantic ideal, romantic notion, romantic feeling, romantic sentiment, romantic dream, romantic vision, romantic fantasy, romantic aspiration, romantic yearning, romantic longing"
ロマンスグレー,romance gray,"romance grey, silver hair, gray hair, grey hair, salt and pepper hair, distinguished gray, distinguished grey, silver-haired, gray-haired, grey-haired"
ロマンスカー,Romance Car,"express train, limited express, Odakyu express train, Romance Car, Romance Cars, limited express train, express trains, limited express trains"
ロンパリ,,"cross-eyed, wall-eyed, strabismus, squint, lazy eye, crossed eyes, wandering eye, eye turn"
ロープウェー,ropeway,"cable car, aerial tramway, gondola lift, chairlift, ski lift, cable cars, aerial tramways, gondola lifts, chairlifts, ski lifts, ropeways, cableway"
ロスタイム,loss time,"stoppage time, injury time, added time, extra time, lost time"
ルー,roux,"roux, curry roux, curry base, thickening agent, flour butter mixture"
リュックサック,rucksack,"backpack, rucksacks, backpacks, knapsack, knapsacks, daypack, daypacks"
サービス,service,"service, services, customer service, support, assistance, help, care, maintenance, provision"
サボる,,"skip, cut, ditch, play hooky, truant, shirk, slack off, bunk off, skive, blow off, skip out, absent oneself"
サド,,"sadism, sadist, sadistic, masochism, BDSM, S&M, sadomasochism, sadists"
サイドブレーキ,side brake,"handbrake, hand brake, parking brake, emergency brake, e-brake, handbrakes, hand brakes, parking brakes, emergency brakes, e-brakes"
サイダー,cider,"soda, soft drink, carbonated drink, fizzy drink, pop, soda pop, sparkling drink, lemon-lime soda, clear soda, sodas, soft drinks, carbonated drinks"
サイン,sign,"sign, signature, autograph, signs, signatures, autographs"
サインペン,sign pen,"marker, felt-tip pen, magic marker, markers, felt-tip pens, magic markers, felt pen, felt pens"
サンドイッチ or サンド,sandwich,"sandwich, sandwiches, sando, sandos, sub, subs, hoagie, hoagies"
サンドバッグ,sandbag,"sandbag, sandbags, punching bag, punching bags, heavy bag, heavy bags, boxing bag, boxing bags"
サラダ,salad,"salad, salads"
サラリーマン,salaryman,"office worker, white-collar worker, company employee, corporate employee, businessman, office workers, white-collar workers, company employees, corporate employees, businessmen, salarymen"
セックス,sex,"sex, sexual intercourse, intercourse, sexual activity, sexual relations, intimacy, coitus, copulation, lovemaking, sexual contact, physical intimacy, carnal relations"
セフレ,,"sex friend, friends with benefits, casual sex partner, hookup buddy, fuck buddy, booty call, casual partner, sexual partner, FWB"
セクハラ,,"sexual harassment, workplace harassment, harassment, sexual misconduct, unwanted sexual advances, inappropriate behavior"
セメダイン,,"glue, adhesive, cement, bonding agent, instant glue, super glue, craft glue, household adhesive"
センス,sense,"sense, senses, taste, style, fashion sense, good taste, aesthetic sense, sensibility, sensibilities, judgment, discernment, flair"
セレブ,celeb,"celebrity, celebrities, celebs, famous person, famous people, star, stars, VIP, VIPs"
シャボン玉,,"soap bubble, soap bubbles, bubble, bubbles"
シャープペンシル or シャーペン,sharp pencil,"mechanical pencil, mechanical pencils, propelling pencil, propelling pencils, automatic pencil, automatic pencils, clutch pencil, clutch pencils, lead pencil, lead pencils"
シーエム,CM,"commercial, commercials, advertisement, advertisements, ad, ads, TV commercial, TV commercials, TV ad, TV ads"
シール,seal,"seal, seals, sticker, stickers, label, labels, decal, decals"
シルバーシート,silver seat,"priority seat, priority seats, reserved seat, reserved seats, courtesy seat, courtesy seats, senior seat, senior seats, disabled seat, disabled seats"
シュークリーム,shoe cream,"cream puff, choux pastry, profiterole, cream puffs, choux pastries, profiteroles, éclair, eclairs"
ソフト,soft,"soft, software, softs"
ソフトクリーム,soft cream,"soft serve, soft serve ice cream, soft-serve, soft-serve ice cream, ice cream cone, ice cream cones, frozen yogurt, froyo"
ソーラーシステム,solar system,"solar system, solar systems, solar power system, solar energy system, photovoltaic system, solar panel system, solar power systems, solar energy systems, photovoltaic systems, solar panel systems, PV system, PV systems"
すべた or スベタ,,"spatula, spatulas, turner, turners, flipper, flippers"
スイートルーム,suite room,"suite, suites, hotel suite, hotel suites, luxury suite, luxury suites, presidential suite, executive suite, suite rooms"
スカイ,sky,"sky, skies, heavens, firmament"
スケボー,,"skateboard, skateboards, skateboarding, skate board, skate boards"
スケルトン,skeleton,"skeleton, skeletons, skeletal, framework, frameworks, structure, structures, frame, frames"
スキー,ski,"ski, skis, skiing"
スキンシップ,skinship,"physical affection, physical intimacy, physical contact, touching, bonding through touch, intimate physical contact, skin-to-skin contact, physical closeness, tactile bonding, physical bonding, intimate touching, affectionate touching"
スコップ,,"shovel, spade, shovels, spades, scoop, scoops"
スマート,smart,"smart, intelligent, clever, sleek, slim, stylish, sophisticated, smarter, smartest"
スムーズ,smooth,"smooth, smoothly, seamless, seamlessly, fluid, fluent, effortless, effortlessly"
スーパー,super,"supermarket, supermarkets, grocery store, grocery stores, market, markets, super market, super markets"
スパッツ or スパッツタイツ,spats,"leggings, tights, spandex leggings, athletic tights, compression tights, yoga pants, workout leggings, sports tights, stretchy pants, form-fitting pants, athletic leggings, exercise tights"
スペル,spell,"spell, spells, spelling, magic spell, magic spells, incantation, incantations, charm, charms"
スピン,spin,"spin, spins, spinning, rotation, rotations, turn, turns, twist, twists"
スポイト,,"dropper, eyedropper, pipette, droppers, eyedroppers, pipettes, medicine dropper, eye dropper"
スリーサイズ,three size,"three sizes, body measurements, vital statistics, bust-waist-hip measurements, BWH measurements, figure measurements, body stats"
ストライキ or スト,strike,"strike, strikes, labor strike, work stoppage, industrial action, walkout, walkouts, work strikes, labor strikes, striking, picket, picketing"
ストーブ,stove,"stove, stoves, heater, heaters, space heater, space heaters"
スーツアクター,suit actor,"suit actor, suit actors, costume performer, costume performers, masked performer, masked performers, tokusatsu actor, tokusatsu actors, stunt performer, stunt performers"
タバコ or たばこ,tobacco,"cigarette, cigarettes, smoke, smokes, cig, cigs"
セイウチ,,"walrus, walruses"
タイムオーバー,time over,"time's up, overtime, time out, time limit exceeded, time expired, timeout, time up, times up, time limit reached, deadline passed, time ran out, out of time"
タイムリー,timely,"timely, well-timed, opportune, appropriate, suitable, fitting, apt, convenient, on time, punctual, prompt, seasonal"
タオルケット,towel blanket,"towel blanket, towel blankets, summer blanket, summer blankets, lightweight blanket, lightweight blankets, thin blanket, thin blankets, cotton blanket, cotton blankets, terry blanket, terry blankets"
タレント,talent,"talent, talents, celebrity, celebrities, entertainer, entertainers, TV personality, TV personalities, media personality, media personalities, performer, performers"
テーマ,theme,"theme, themes, topic, topics, subject, subjects, motif, motifs"
テンキー,ten key,"numeric keypad, number pad, numpad, ten-key, calculator keypad, numeric pad, number keypad, ten keys, numeric keypads, number pads, numpads, calculator keypads"
てんぷら,tempura,"tempura, Japanese tempura, battered and fried food, deep-fried vegetables, deep-fried seafood, Japanese fritters"
テンション,tension,"tension, excitement, energy, mood, spirit, enthusiasm, high spirits, tensions, voltage, electrical tension, stress, strain"
テレビ,television,"TV, television, televisions, TVs, telly, tube, screen, television set, television sets"
テレビゲーム,television game,"video game, video games, TV game, TV games, console game, console games, electronic game, electronic games, computer game, computer games, gaming, videogame"
テレカ,,"telephone card, phone card, prepaid phone card, calling card, telephone cards, phone cards, prepaid phone cards, calling cards, telecard, telecards"
トイレ,toilet,"toilet, toilets, bathroom, restroom, washroom, lavatory, loo, WC, water closet, bathrooms, restrooms, washrooms"
トナカイ,,"reindeer, caribou, reindeer herd, caribou herd"
"トラブル, トラブる",trouble,"trouble, troubles, problem, problems, issue, issues, difficulty, difficulties, malfunction, malfunctions, glitch, glitches"
トランプ,trump,"playing cards, cards, card game, card games, deck of cards, playing card, trump card, trump cards"
トレーナー,trainer,"trainer, trainers, sweatshirt, sweatshirts, pullover, pullovers, jumper, jumpers, hoodie, hoodies, sweater, sweaters"
トレーニングパンツ,training pants,"training pants, pull-ups, pullups, pull-up diapers, training underwear, potty training pants, toddler training pants, training briefs, pull-up training pants, disposable training pants, cloth training pants, overnight training pants"
ウインカー(ウィンカー),winker,"turn signal, blinker, indicator, turn signals, blinkers, indicators, directional signal, directional signals, turn indicator, turn indicators, signal light, signal lights"
ウーパールーパー,,"axolotl, axolotls, Mexican salamander, Mexican salamanders, wooper looper, wooper loopers"
ヴァイキング,Viking,"Viking, Vikings, Norseman, Norsemen, Norse warrior, Norse warriors, raider, raiders"
ヴァージンロード,virgin road,"wedding aisle, bridal aisle, aisle, church aisle, wedding walkway, bridal walkway, wedding aisles, bridal aisles, aisles, church aisles"
ワイシャツ or Yシャツ,white shirt,"dress shirt, button-down shirt, collared shirt, business shirt, formal shirt, white shirts, dress shirts, button-down shirts, collared shirts, business shirts, formal shirts, shirt"
ワンパターン,one pattern,"monotonous, repetitive, predictable, routine, formulaic, stereotyped, unchanging, same old, cookie-cutter, by-the-book, unvaried, mechanical"
ワンピース,one-piece,"one-piece, dress, one piece dress, one-piece dress, jumpsuit, romper, one piece, dresses, jumpsuits, rompers, onepiece"
ワープロ,,"word processor, word processors, WP, text processor, text processors, document processor, document processors"
ウォシュレット,Washlet,"bidet toilet, bidet toilet seat, electronic bidet, smart toilet, washlet, washlets, bidet toilets, bidet toilet seats, electronic bidets, smart toilets, toilet bidet, toilet bidets"
ヨット,yacht,"yacht, yachts, sailboat, sailing boat, pleasure boat, sailing yacht, motor yacht"
ヤンエグ,,"young executive, young executives, young exec, young execs, yuppie, yuppies, young professional, young professionals"
ヨード,iodine,"iodine, iodide, tincture of iodine, iodine solution, antiseptic, disinfectant"
ヨードチンキ,,"iodine tincture, tincture of iodine, iodine solution, antiseptic iodine, iodine antiseptic, topical iodine, medicinal iodine"
ユニットバス,unit bath,"unit bath, prefab bathroom, modular bathroom, bathroom unit, unit baths, prefab bathrooms, modular bathrooms, bathroom units, prefabricated bathroom, prefabricated bathrooms, all-in-one bathroom, integrated bathroom"
Uターンラッシュ,U-turn rush,"U-turn rush, return rush, homecoming rush, holiday return traffic, exodus traffic, return traffic jam, holiday traffic, mass return, return migration"
ザイル,,"rope, climbing rope, mountaineering rope, ropes, climbing ropes, mountaineering ropes"
ゼミナール or ゼミ,seminar,"seminar, seminars, study group, study groups, academic seminar, academic seminars, research seminar, research seminars, workshop, workshops, class, classes"
ゼロ,zero,"zero, zeros, zeroes, naught, nothing, nil, null"
ズボン,,"pants, trousers, slacks, bottoms, pair of pants, pair of trousers"
クラブ ,club,"club, clubs, nightclub, nightclubs, golf club, golf clubs, bat, bats, stick, sticks"
ニュアンス,nuance,"nuance, nuances, subtlety, subtleties, shade, shades, undertone, undertones, implication, implications, connotation, connotations"
シュール,surreal,"surreal, surrealistic, bizarre, strange, weird, absurd, dreamlike, fantastical"
カオス,chaos,"chaos, disorder, mayhem, pandemonium, turmoil, confusion, bedlam, anarchy"
アンニュイ,,"ennui, boredom, listlessness, weariness, tedium, apathy, languor, malaise, world-weariness, existential boredom"
カタログ ,catalog,"catalog, catalogue, catalogs, catalogues, brochure, brochures, pamphlet, pamphlets"
プロパガンダ,propaganda,"propaganda, propagandas, political propaganda, war propaganda, state propaganda, government propaganda, ideological messaging, indoctrination, brainwashing, disinformation, misinformation, bias"
ルンペン,,"vagrant, vagrants, tramp, tramps, hobo, hobos, bum, bums, homeless person, homeless people, drifter, drifters"
ホームレス,homeless,"homeless person, homeless people, vagrant, vagrants, transient, transients, street person, street people, unhoused, unhoused person, unhoused people, houseless"
ブルジョワジー,bourgeoisie,"bourgeoisie, middle class, capitalist class, bourgeois class, upper middle class, merchant class, business class"
ブルジョワ,,"bourgeois, bourgeoisie, middle class, upper middle class, capitalist, capitalists, wealthy, affluent, privileged class"
プロレタリア,proletaria,"proletariat, proletarian, proletarians, working class, workers, laborers, labourers, industrial workers, wage earners, working people, labor force, labour force"
インテリ,,"intellectual, intellectuals, intelligentsia, educated person, educated people, scholar, scholars, academic, academics, learned person, learned people, egghead"
ハイソ,,"high society, high-class, upper class, elite, sophisticated, upscale, posh, refined, classy, aristocratic, wealthy, affluent"
ゲバルト,,"violence, force, power, militant action, revolutionary violence, political violence, armed struggle, insurgency, uprising, revolt, rebellion, resistance"
マスゲーム,mass game,"mass games, mass gymnastics, synchronized performance, group gymnastics, choreographed display, mass demonstration, collective performance, synchronized display"
マンセー,,"banzai, hooray, hurrah, long live, cheers, huzzah, three cheers, acclaim, celebration cry"
ロートル,,"old-timer, veteran, old hand, seasoned person, experienced person, old guard, old-timers, veterans, old hands, seasoned people, experienced people"
ニーハオ,,"ni hao, hello, hi, greetings, Chinese greeting, Chinese hello"
ポコペン,,"foreigner, foreigners, foreign person, foreign people, outsider, outsiders, non-Japanese, gaijin"
チョンガー,,"bachelor, single man, unmarried man, bachelors, single men, unmarried men"
ユダヤ,Judea,"Jewish, Jew, Jews, Judaism, Judaic, Hebrew, Hebrews, Israelite, Israelites"
ウイルス,virus,"virus, viruses, computer virus, computer viruses, malware, pathogen, pathogens"
レッテル,letter,"label, labels, tag, tags, sticker, stickers"
ラベル,label,"labels, tag, tags, sticker, stickers"
レーベル,label,"label, labels, record label, record labels, music label, music labels, brand, brands"
阿片 or アヘン,,"opium, opiate, opiates, opium poppy, narcotic, narcotics, drug, drugs"
ラッパ ,rappa,"trumpet, trumpets, horn, horns, bugle, bugles"
トランペット,trumpet,"trumpet, trumpets"
カボチャ,,"pumpkin, squash, pumpkins, squashes, winter squash, kabocha squash, Japanese pumpkin, Japanese squash"
マント,mantle,"mantle, mantles, cape, capes, cloak, cloaks"
ケープ,cape,"cape, capes, cloak, cloaks, mantle, mantles"
レインコート,raincoat,"raincoat, raincoats, rain coat, rain coats, rain jacket, rain jackets, waterproof coat, waterproof coats"
エネルギー,energy,"energy, energies, power, force, vigor, vitality, strength, stamina"
エナジー,energy,"energy, energies, power, vitality, vigor, strength, force, dynamism"
メスシリンダー,measuring cylinder,"measuring cylinder, graduated cylinder, mixing cylinder, measuring cylinders, graduated cylinders, mixing cylinders"
パワー,power,"power, powers, strength, force, energy, might"
パラメーター,parameter,"parameter, parameters, param, params"
ミクロ,micro,"micro, microscopic, micron, microns, microscale, micro-, miniature, tiny, minute"
マイクロ,micro,"micro, microphone, microphones, mic, mics, microscopic, micron, microns"
アンチ,anti,"anti, against, opposed to, counter, anti-, opposition, resistance, contrary, opposing, antagonistic, hostile, contrary to"
アジト,,"hideout, hideouts, base, bases, lair, lairs, den, dens, safe house, safe houses, safehouse, safehouses"
カルト,cult,"cult, cults, religious cult, religious cults, sect, sects, cultish group, cultish groups"
オカルト,occult,"occult, occultism, supernatural, paranormal, mystical, esoteric, occults"
サイコ,psycho,"psycho, psychos, psychopath, psychopaths, crazy person, crazy people, lunatic, lunatics, madman, madmen, maniac, maniacs"
バッドトリップ,bad trip,"bad trip, bad trips, nightmare trip, nightmare trips, psychedelic nightmare, drug-induced panic, hallucinogenic crisis, adverse psychedelic experience, negative drug experience, panic attack from drugs, drug-induced anxiety, psychedelic panic"
ユーフォー,UFO,"UFO, UFOs, unidentified flying object, unidentified flying objects, flying saucer, flying saucers"
キャリア,career,"career, careers, carrier, carriers, professional path, work history, job history, occupation, profession"
スリップ,slip,"slip, slips, slipping, petticoat, petticoats, undergarment, undergarments, underwear, lingerie, underskirt, underskirts, half-slip"
クラッシュ,crash,"crash, crashes, crashed, crashing, collision, collisions, smash, smashes"
ファイヤ,fire,"fire, fires, flame, flames, blaze, blazes"
フレイム,flame,"flame, flames, fire, blaze, blazes"
サンダー,thunder,"thunder, sandal, sandals, sander, sanders, electric sander, power sander, belt sander, orbital sander, disc sander"
キャンプ,camp,"camp, camps, camping, campsite, campsites"
キャンプファイヤー,campfire,"campfire, campfires, camp fire, camp fires, bonfire, bonfires"
ジュニア,junior,"junior, juniors, Jr., Jr, junior-level, junior grade, junior class, junior member, junior student, junior player, junior size, junior edition"
シニア,senior,"senior, seniors, elderly, elder, elders, senior citizen, senior citizens, older adult, older adults, elderly person, elderly people, senior member"
アマチュア,amateur,"amateur, amateurs, nonprofessional, nonprofessionals, non-professional, non-professionals, hobbyist, hobbyists, dilettante, dilettantes, novice, novices"
スペシャリスト,specialist,"specialist, specialists, expert, experts, professional, professionals, authority, authorities, maven, mavens, virtuoso, virtuosos"
ジェネラリスト,generalist,"generalist, generalists, general practitioner, general practitioners, all-rounder, all-rounders, jack-of-all-trades, polymath, polymaths, multi-specialist, multi-specialists, versatile person"
アクセス,access,"access, accesses, accessing, accessed"
アドレス,address,"address, addresses, URL, URLs, email address, email addresses, web address, web addresses, mailing address, mailing addresses, street address, street addresses"
アドバイス,advice,"advice, advices, counsel, guidance, recommendation, recommendations, suggestion, suggestions, tip, tips, counseling, consulting"
エアー,air,"air, atmosphere, breeze, wind, gas, oxygen, pneumatic, aerial"
アルバム,album,"albums, photo album, photo albums, music album, music albums, record, records, LP, scrapbook, scrapbooks"
アレルギー,allergy,"allergy, allergies, allergic reaction, allergic reactions, hypersensitivity, hypersensitivities"
アナログ,analog,"analog, analogue, analogs, analogues"
アンド,and,"and, &, ampersand"
アンサー,answer,"answer, answers, response, responses, reply, replies, solution, solutions"
エリア,area,"area, areas, zone, zones, region, regions, district, districts, sector, sectors, territory, territories"
オークション,auction,"auction, auctions, bidding, sale, sales, bid, bids"
ベビー,baby,"baby, babies, infant, infants, newborn, newborns"
バック,back,"back, bag, bags, reverse, backward, backing, backup, backs"
バランス,balance,"balance, equilibrium, stability, poise, balancing, balanced"
ボール,ball,"ball, balls, bowl, bowls"
バンド,band,"band, bands, musical band, musical bands, rock band, rock bands, music group, music groups, ensemble, ensembles"
バンク,bank,"bank, banks, banking, financial institution, financial institutions"
バー,bar,"bar, bars, pub, pubs, tavern, taverns, drinking establishment, saloon, saloons, barroom, barrooms, taproom"
バリア,barrier,"barrier, barriers, barricade, barricades, obstacle, obstacles, blockade, blockades"
ベース,base,"base, bases, bass, bass guitar, bass guitars, foundation, foundations, basis"
バッテリー,battery,"battery, batteries, cell, cells, power cell, power cells, rechargeable battery, rechargeable batteries"
ベッド,bed,"bed, beds, bedding"
ベスト,best,"best, vest, vests, waistcoat, waistcoats, sleeveless jacket, sleeveless jackets"
バイオマス,biomass,"biomass, biomasses, bio-mass, biological mass, organic matter, biofuel, biofuels, renewable energy, organic fuel"
ブロック,block,"blocks, building block, building blocks, toy block, toy blocks, city block, city blocks, concrete block, concrete blocks"
ブルー,blue,"blue, blues"
ボーナス,bonus,"bonus, bonuses, premium, premiums, incentive, incentives, reward, rewards, extra pay, year-end bonus, performance bonus"
ボックス,box,"box, boxes, container, containers, case, cases"
ブランド,brand,"brand, brands, trademark, trademarks, label, labels, make, makes"
バブル,bubble,"bubble, bubbles, economic bubble, asset bubble, market bubble, bubble economy, foam, froth"
ビル,building,"building, buildings, office building, office buildings, high-rise, high-rises, skyscraper, skyscrapers, tower, towers"
バス,bus,"bus, buses, bass, bath"
ビジネス,business,"business, businesses, commerce, trade, enterprise, industry, commercial, corporate"
バイ-by,by,"by, bye, buy, bi"
ケーブル,cable,"cable, cables, cord, cords, wire, wires"
ケーキ,cake,"cake, cakes"
カロリー,calorie,"calorie, calories, cal, cals, kilocalorie, kilocalories, kcal"
カメラ,camera,"cameras, cam, cams"
キャンセル,cancel,"cancel, cancellation, canceling, cancelling, canceled, cancelled, cancels"
カー,car,"car, cars, automobile, automobiles, vehicle, vehicles"
カード,card,"cards, playing card, playing cards, credit card, credit cards, business card, business cards, greeting card, greeting cards, postcard, postcards"
ケア,care,"care, caring, healthcare, health care, skincare, skin care, childcare, child care, eldercare, elder care, caregiving, treatment"
ケース,case,"case, cases, container, containers, box, boxes, cover, covers, housing, housings, casing, casings"
カテゴリー,category,"categories, classification, classifications, class, classes, type, types, group, groups, section, sections"
セル,cell,"cell, cells, sell, sells"
センター,center,"center, centre, centers, centres"
センチ,centi,"centimeter, centimeters, cm, centi, centimetre, centimetres"
センチメートル,centimeter,"centimeter, centimetre, centimeters, centimetres, cm"
チャンス,chance,"chance, chances, opportunity, opportunities, shot, shots"
チャンネル,channel,"channel, channels, TV channel, television channel, broadcasting channel, communication channel, radio channel, streaming channel, YouTube channel, media channel"
キャラ,chara,"character, characters, char, chars"
チャリティー,charity,"charity, charities, charitable organization, charitable organizations, charity work, charity event, charity events, fundraiser, fundraisers, donation, donations, philanthropy"
チェック,check,"check, checks, checked, checking, verification, inspection, examination, review, checkmark, tick, plaid, checkered pattern"
チーズ,cheese,"cheese, cheeses"
クリスマス,Christmas,"Christmas, Xmas, Christmas Day, Christmas season, Christmas time, Christmastime, yuletide, Yule"
クレーム,claim,"complaint, complaints, claims, grievance, grievances, objection, objections, protest, protests"
クラス,class,"class, classes, classroom, classrooms, grade, grades, course, courses"
クリア,clear,"clear, clears, cleared, clearing, transparent, see-through, lucid, obvious, evident, plain, distinct, crisp"
クリック,click,"click, clicks, clicking, clicked"
クラブ,club,"club, clubs, nightclub, nightclubs, golf club, golf clubs, baseball bat, bats, society, societies, organization, organizations"
コード,code,"code, codes, cord, cords, chord, chords"
コーヒー,coffee,"coffee, coffees, java, joe, brew, espresso, café"
カラー,color,"color, colours, colors, collar, collars"
コメント,comment,"comment, comments, remark, remarks, observation, observations, note, notes, feedback, commentary"
コミュニケーション,communication,"communication, communications, communicating, interact, interaction, dialogue, conversation, exchange"
コミュニティー,community,"community, communities, commune, communes, neighborhood, neighborhoods, group, groups, society, societies"
コンピューター,computer,"computer, computers, PC, personal computer, personal computers, desktop, laptop, machine, computing device"
コンクリート,concrete,"concrete, cement, reinforced concrete, concrete mix, concrete mixture, concrete slab, concrete block, concrete blocks, concrete slabs"
コンテンツ,contents,"content, contents, digital content, media content, web content, online content"
コントロール,control,"control, controls, controlling, controlled, controller, controllers, remote control, remote controls, game controller, game controllers"
コピー,copy,"copy, copies, photocopy, photocopies, duplicate, duplicates, reproduction, reproductions"
コスト,cost,"cost, costs, expense, expenses, price, prices, fee, fees"
コース,course,"course, courses, track, tracks, route, routes, path, paths, curriculum, program"
カバー,cover,"covers, covering, coverings, book cover, book covers, dust cover, dust covers, protective cover, protective covers, lid, lids"
クリーム,cream,"cream, creams, creamy, crème"
クレジット,credit,"credit, credits, credit card, credit cards, creditcard, creditcards"
カップ,cup,"cup, cups, mug, mugs, tumbler, tumblers"
カレー,curry,"curry, curries, curry dish, curry dishes, Japanese curry, curry rice, curry and rice"
カット,cut,"cut, cuts, cutting, haircut, haircuts, trim, trims, trimming"
サイクル,cycle,"cycles, cycling, bicycle, bicycles, bike, bikes, loop, loops, rotation, rotations, period, periods"
データ,data,"data, datum, information, facts, statistics, records, details, figures"
データーベース,database,"database, databases, data base, data bases, DB, DBs"
デート,date,"date, dates, dating, romantic date, romantic dates, go on a date, go on dates"
デー,day,"day, days, D, letter D"
ディーラー,dealer,"dealer, dealers, car dealer, car dealers, auto dealer, auto dealers, card dealer, card dealers, drug dealer, drug dealers, distributor, distributors"
デフレ,deflation,"deflation, deflationary, economic deflation, price deflation, monetary deflation, deflationary pressure, deflationary spiral, deflationary period, deflationary trend, deflationary environment"
デザイン,design,"design, designs, designing, designer, designers"
デスクトップ,desktop,"desktop, desktops, desktop computer, desktop computers, desktop PC, desktop PCs"
ディテール,detail,"detail, details, detailing, particulars, specifics, fine points, minutiae, intricacies"
ダイエット,diet,"diet, diets, dieting, weight loss, slimming, dietary restriction, dietary restrictions, nutrition plan, nutrition plans, weight management, fitness regimen, health regimen"
デジタル,digital,"digital, digitally, digitization, digitized, digitalize, digitalization"
デジカメ,,"digital camera, digital cameras, digicam, digicams, point-and-shoot camera, point-and-shoot cameras, compact camera, compact cameras"
ディスク,disc,"disk, discs, disks, compact disc, CD, DVD, hard disk, floppy disk, optical disc"
ドル,dollar,"dollar, dollars, USD, US dollar, US dollars, American dollar, American dollars"
ドア,door,"doors, doorway, doorways, entrance, entrances, entry, entries, portal, portals"
ダウン,down,"down, down jacket, down jackets, down coat, down coats, downward, decrease, fall"
ダウンロード,download,"download, downloads, downloading, downloaded"
ドライブ,drive,"drive, drives, driving, car ride, car rides, road trip, road trips"
エイト,eight,"eight, 8, eighth, eights"
エンジン,engine,"engines, motor, motors"
エラー,error,"error, errors, mistake, mistakes, bug, bugs, fault, faults"
イベント,event,"events, happening, occasion, function, gathering, activity, program, show"
エクセル,Excel,"Excel, Microsoft Excel, spreadsheet, spreadsheet software, spreadsheet application, spreadsheet program"
ファン,fan,"fan, fans, enthusiast, enthusiasts, supporter, supporters, admirer, admirers, follower, followers"
ファイル,file,"files, document, documents, record, records, folder, folders"
ファースト,first,"first, 1st, firsts, first place, first-class, first-rate"
フロー,flow,"flow, flows, flowchart, flowcharts, workflow, workflows"
フォルダー,folder,"folder, folders, directory, directories, file folder, file folders"
フォーラム,forum,"forums, discussion forum, online forum, message board, bulletin board, discussion board, community forum, web forum"
フリー,free,"free, freedom, liberal, unrestricted, complimentary, gratis, no charge, at liberty, unoccupied, available, freelance, independent"
フル,full,"full, complete, entire, whole, maximum, total"
ゲーム,game,"games, gaming, video game, video games, board game, board games, card game, card games"
ガス,gas,"gas, gases, natural gas, propane, fuel gas, cooking gas, city gas"
ガソリン,gasoline,"gasoline, gas, petrol, fuel, motor fuel, automotive fuel"
グローバル,global,"global, worldwide, international, universal, planetary, world-wide, globe-spanning, multinational, transnational, cross-border, all-encompassing, comprehensive"
グラム,gram,"gram, grams, gramme, grammes, g"
グリーン,green,"green, greens, the green, verdant, emerald"
グループ,group,"groups, team, teams, band, bands, organization, organizations, collective, collectives, unit, units"
ガイド,guide,"guide, guides, guidebook, guidebooks, manual, manuals, handbook, handbooks, tour guide, tour guides"
ガイドライン,guideline,"guidelines, guide, guides, standard, standards, protocol, protocols, procedure, procedures, rule, rules, policy"
ギター,guitar,"guitars, acoustic guitar, electric guitar, bass guitar, classical guitar, acoustic guitars, electric guitars, bass guitars, classical guitars"
ハード,hard,"hard, hardware, difficult, tough, rigid, solid, harsh, severe, intense, extreme"
ヘクタール,hectare,"hectare, hectares, ha"
ヘリコプター,helicopter,"helicopter, helicopters, chopper, choppers, heli, helis, whirlybird, whirlybirds"
ハイ,hi,"hi, yes, high, hai"
ハイテク,hi-tech,"high-tech, high tech, hi-tech, hitech, high-technology, high technology, advanced technology, cutting-edge technology"
ホーム,home,"home, homes, platform, platforms, homepage, homepages, home page, home pages"
ホテル,hotel,"hotels, inn, lodge, motel, resort, accommodation"
イン-in,in,"in, inn, inns"
インフラ,infra,"infrastructure, infrastructures, infra, infras"
イニシアチブ,initiative,"initiative, initiatives, lead, leadership, taking the lead, first move, proactive action, enterprise, drive, action"
インストール,install,"install, installs, installing, installation, installations, setup, setups"
インターネット,internet,"internet, Internet, web, World Wide Web, WWW, net, online, cyberspace"
イオン,ion,"ion, ions, ionic"
イスラム,Islam,"Islam, Islamic, Muslim, Muslims, Islamic faith, Islamic religion"
キー,key,"key, keys"
